id,name,size,admis_num,admis_percent,cost_gen,cost_instate,cost_outstate,location,majors,ranking,testscores,avg_gpa,completion_percent,ctype,med_debt
,Gordon College,1618,2296.5,0.75,52436,-1,-1,"Wenham, MA","[""Accounting\nArt/Art Studies, General\nBiochemistry\nBiology/Biological Sciences, General\nBusiness Administration and Management, General\nChemistry, General\nChristian Studies\nComputer Science\nDrama and Dramatics/Theatre Arts, General\nEarly Childhood Education and Teaching\nEconomics, General\nElementary Education and Teaching\nEnglish Language and Literature, General\nExercise Physiology\n Finance, General\nFine/Studio Arts, General\nForeign Languages and Literatures, General\nFrench Language and Literature\nGerman Language and Literature"",""History, General\nInternational Relations and Affairs\nJunior High/Intermediate/Middle School Education and Teaching\nLinguistics\nMathematics, General\nMusic Performance, General\nMusic Teacher Education\nMusic, General\nParks, Recreation and Leisure Studies\nPhilosophy\nPhysics, General\nPolitical Science and Government, General\nPsychology, General\nSecondary Education and Teaching\nSocial Work\nSociology\nSpanish Language and Literature\nSpeech Communication and Rhetoric\nYouth Ministry""]",401-500,"{""avg_gpa"":3.56,""sat_math"":{""avg"":-1,""lrange"":""520"",""rrange"":""635""},""sat_ebrw"":{""avg"":""595"",""lrange"":""530"",""rrange"":""650""},""act_composite"":{""avg"":""26"",""lrange"":""22"",""rrange"":""30""}}",,0.57,Private non-profit,39930
,Hendrix College,1238,1172,0.8,62174,-1,-1,"Conway, AR","[""Accounting\nAmerican/United States Studies/Civilization\nAnthropology\nArt/Art Studies, General\nBiochemistry and Molecular Biology\nBiology/Biological Sciences, General\nChemical Physics\nChemistry, General\nClassics and Classical Languages, Literatures, and Linguistics, General\nComputer Science\nDrama and Dramatics/Theatre Arts, General\nEconomics, General\nEnglish Language and Literature, General\nEnvironmental Studies\nFrench Language and Literature"",""German Language and Literature\nHealth Services/Allied Health/Health Sciences, General\nHistory, General\nInternational Relations and Affairs\nMathematics, General\nMulti-/Interdisciplinary Studies, General\nMusic, General\nPhilosophy\nPhilosophy and Religious Studies, Other\nPhysics, General\nPolitical Science and Government, General\nPsychology, General\nReligion/Religious Studies\nSociology\nSpanish Language and Literature""]",396,"{""avg_gpa"":3.93,""sat_math"":{""avg"":-1,""lrange"":""540"",""rrange"":""700""},""sat_ebrw"":{""avg"":-1,""lrange"":""560"",""rrange"":""710""},""act_composite"":{""avg"":-1,""lrange"":""24"",""rrange"":""29""}}",,0.67,Private non-profit,27786
,Hope College,3150,3275.16,0.84,48680,-1,-1,"Holland, MI","[""Accounting\nAccounting and Business/Management\nArt History, Criticism and Conservation\nArt Teacher Education\nAthletic Training/Trainer\nBiochemistry and Molecular Biology\nBiology Teacher Education\nBiology/Biological Sciences, General\nBusiness Administration and Management, General\nBusiness/Managerial Economics\nChemistry Teacher Education\nChemistry, General\nClassics and Classical Languages, Literatures, and Linguistics, General\nComputer and Information Sciences, General\nDance, General\nDrama and Dance Teacher Education\nDrama and Dramatics/Theatre Arts, General\nEconomics, General\nEducation/Teaching of Individuals in Early Childhood Special Education Programs\nEducation/Teaching of Individuals with Emotional Disturbances\nEducation/Teaching of Individuals with Specific Learning Disabilities\nElementary Education and Teaching\nEngineering, General\nEnglish Language and Literature, General\nEnglish/Language Arts Teacher Education\nFine/Studio Arts, General\nFrench Language Teacher Education\nFrench Language and Literature\nGeology/Earth Science, General\nGerman Language Teacher Education\nGerman Language and Literature\nHistory Teacher Education"",""History, General\nInternational/Global Studies\nJapanese Studies\nJazz/Jazz Studies\nKeyboard Instruments\nKinesiology and Exercise Science\nMathematics Teacher Education\nMathematics, General\nMulti-/Interdisciplinary Studies, Other\nMusic Performance, General\nMusic Teacher Education\nMusic Theory and Composition\nMusic, General\nPhilosophy\nPhysical Education Teaching and Coaching\nPhysics Teacher Education\nPhysics, General\nPolitical Science and Government, General\nPsychology, General\nRegistered Nursing/Registered Nurse\nReligion/Religious Studies\nScience Teacher Education/General Science Teacher Education\nSocial Studies Teacher Education\nSocial Work\nSociology\nSpanish Language Teacher Education\nSpanish Language and Literature\nSpeech Communication and Rhetoric\nStringed Instruments\nVoice and Opera\nWomen's Studies""]",261,"{""avg_gpa"":3.86,""sat_math"":{""avg"":-1,""lrange"":""540"",""rrange"":""660""},""sat_ebrw"":{""avg"":-1,""lrange"":""550"",""rrange"":""660""},""act_composite"":{""avg"":-1,""lrange"":""24"",""rrange"":""29""}}",,0.67,Private non-profit,35635
,Idaho State University,10416,3253,1,-1,21111,35887,"Pocatello, ID","[""Accounting\nAdministrative Assistant and Secretarial Science, General\nAeronautical/Aerospace Engineering Technology/Technician\nAircraft Powerplant Technology/Technician\nAnthropology\nArt/Art Studies, General\nAudiology/Audiologist and Speech-Language Pathology/Pathologist\nAutobody/Collision and Repair Technology/Technician\nAutomobile/Automotive Mechanics Technology/Technician\nBiochemistry\nBiology/Biological Sciences, General\nBusiness Administration and Management, General\nBusiness/Commerce, General\nCAD/CADD Drafting and/or Design Technology/Technician\nChemistry, General\nChild Care and Support Services Management\nCivil Engineering Technology/Technician\nCivil Engineering, General\nClinical Laboratory Science/Medical Technology/Technologist\nComputer Science\nComputer Systems Networking and Telecommunications\nCriminal Justice/Police Science\nCritical Infrastructure Protection\nDance, General\nDental Hygiene/Hygienist\nDiesel Mechanics Technology/Technician\nDietetics/Dietitian\nDrama and Dramatics/Theatre Arts, General\nEarly Childhood Education and Teaching\nEconomics, General\nElectrical and Electronics Engineering\nElectrical, Electronic and Communications Engineering Technology/Technician\nElementary Education and Teaching\nEnergy Management and Systems Technology/Technician\nEnglish Language and Literature, General\nEnvironmental Science\nFamily and Consumer Sciences/Human Sciences, General\nFinance, General\nFire Science/Fire-fighting\nFrench Language and Literature\nGeneral Studies\nGeology/Earth Science, General\nGerman Language and Literature\nHealth Information/Medical Records Technology/Technician\nHealth Services/Allied Health/Health Sciences, General\nHealth Teacher Education"",""Health/Health Care Administration/Management\nHistory, General\nHomeland Security, Law Enforcement, Firefighting and Related Protective Services, Other\nHuman Resources Management/Personnel Administration, General\nInformation Science/Studies\nInsurance\nInternational Relations and Affairs\nLegal Assistant/Paralegal\nMachine Tool Technology/Machinist\nManufacturing Engineering Technology/Technician\nMarketing/Marketing Management, General\nMassage Therapy/Therapeutic Massage\nMathematics, General\nMechanical Engineering\nMechanical Engineering/Mechanical Technology/Technician\nMechanics and Repairers, General\nMedical Informatics\nMedical Radiologic Technology/Science - Radiation Therapist\nMedical/Clinical Assistant\nMicrobiology, General\nMulti-/Interdisciplinary Studies, Other\nMusic Performance, General\nMusic Teacher Education\nMusic, General\nNuclear Engineering\nNuclear Engineering Technology/Technician\nOccupational Therapist Assistant\nOrganizational Communication, General\nPhilosophy\nPhysical Education Teaching and Coaching\nPhysical Therapy Technician/Assistant\n Physics, General\nPolitical Science and Government, General\nPsychology, General\nRegistered Nursing/Registered Nurse\nRobotics Technology/Technician\nSecondary Education and Teaching\nSign Language Interpretation and Translation\nSocial Work\nSociology\nSpanish Language and Literature\nSpecial Education and Teaching, General\nStatistics, General\nSurveying Technology/Surveying\nWelding Technology/Welder""]",501-600,"{""avg_gpa"":3.25,""sat_math"":{""avg"":-1,""lrange"":""450"",""rrange"":""570""},""sat_ebrw"":{""avg"":""26"",""lrange"":""23"",""rrange"":""30""},""act_composite"":{""avg"":""22"",""lrange"":""18"",""rrange"":""25""}}",,0.2,Public,29167
,Illinois College,983,2567.28,0.76,43870,-1,-1,"Jacksonville, IL","[""Accounting\nArt/Art Studies, General\nBiology/Biological Sciences, General\nBusiness Administration and Management, General\nBusiness/Managerial Economics\nChemistry, General\nClinical Laboratory Science/Medical Technology/Technologist\nComputer Science\nCytotechnology/Cytotechnologist\nDrama and Dramatics/Theatre Arts, General\nEarly Childhood Education and Teaching\nEconomics, General\nEducation, General\nElementary Education and Teaching\nEnglish Language and Literature, General\n Environmental Studies\nFinance, General\nFrench Language and Literature\nGerman Language and Literature\nHistory, General\nInformation Science/Studies\nInternational Relations and Affairs"",""Liberal Arts and Sciences/Liberal Studies\nManagement Information Systems, General\nMass Communication/Media Studies\nMathematics, General\nMulti-/Interdisciplinary Studies, General\nMusic, General\nOccupational Therapy/Therapist\nPhilosophy\nPhysical Education Teaching and Coaching\nPhysics, General\nPolitical Science and Government, General\nPre-Dentistry Studies\nPre-Law Studies\nPre-Medicine/Pre-Medical Studies\nPre-Veterinary Studies\nPsychology, General\nReligion/Religious Studies\nRhetoric and Composition\nSecondary Education and Teaching\nSociology\nSpanish Language and Literature\nTeacher Education, Multiple Levels""]",340,"{""avg_gpa"":3.5,""sat_math"":{""avg"":-1,""lrange"":""500"",""rrange"":""580""},""sat_ebrw"":{""avg"":""544"",""lrange"":""490"",""rrange"":""590""},""act_composite"":{""avg"":""23"",""lrange"":""20"",""rrange"":""25""}}",,0.65,Private non-profit,32156
,Indiana University Bloomington,33301,34010.13,0.77,-1,25657,51222,"Bloomington, IN","[""African-American/Black Studies\nAmerican/United States Studies/Civilization\nAncient/Classical Greek Language and Literature\nAnimal Behavior and Ethology\nAnthropology\nApparel and Textiles, General\nArt History, Criticism and Conservation\nArt Teacher Education\nArt/Art Studies, General\nArtificial Intelligence\nAstronomy\nAthletic Training/Trainer\nAtmospheric Sciences and Meteorology, Other\nAudiology/Audiologist and Speech-Language Pathology/Pathologist\nBallet\n Biochemistry\nBiological and Biomedical Sciences, Other\nBiology Teacher Education\nBiology/Biological Sciences, General\nBiotechnology\nBusiness/Commerce, General\nChemistry Teacher Education\nChemistry, General\nClassics and Classical Languages, Literatures, and Linguistics, General\nCognitive Science\nCommunity Health and Preventive Medicine\nComparative Literature\nComputer Science\nCriminal Justice/Safety Studies\nDance, General\nDesign and Visual Communications, General\nDigital Communication and Media/Multimedia\nDrama and Dramatics/Theatre Arts, General\nEarly Childhood Education and Teaching\nEast Asian Languages, Literatures, and Linguistics, General\nEast Asian Studies\nEconomics, General\nEducation, Other\nElementary Education and Teaching\nEngineering, General\nEnglish Language and Literature, General\nEnglish/Language Arts Teacher Education\nEnvironmental Health\nEnvironmental Science\nEnvironmental Studies\nEpidemiology\nEthnic, Cultural Minority, Gender, and Group Studies, Other\nFashion/Apparel Design\nFine and Studio Arts Management\nFine/Studio Arts, General\nFolklore Studies\nFrench Language and Literature\nGame and Interactive Media Design\nGeography\nGeology/Earth Science, General"",""Germanic Languages, Literatures, and Linguistics, General\nHealth Teacher Education\nHealth and Physical Education/Fitness, General\nHistory, General\nInformatics\nInterior Design\nInternational Relations and Affairs\nInternational Relations and National Security Studies, Other\nItalian Language and Literature\nJewish/Judaic Studies\nJournalism\nKinesiology and Exercise Science\nLabor Studies\nLiberal Arts and Sciences, General Studies and Humanities, Other\nLiberal Arts and Sciences/Liberal Studies\nLinguistics\nMass Communication/Media Studies\nMathematics Teacher Education\nMathematics, General\nMicrobiology, General\nMiddle/Near Eastern and Semitic Languages, Literatures, and Linguistics, General\nMulti-/Interdisciplinary Studies, General\nMusic Performance, General\nMusic Teacher Education\nMusic, Other\nMusical Theatre\nNeuroscience\nOrganizational Behavior Studies\nParks, Recreation and Leisure Studies\nPhilosophy\nPhysics Teacher Education\nPhysics, General\nPolitical Science and Government, General\nPortuguese Language and Literature\nPublic Administration\nPublic Health, Other\nRecording Arts Technology/Technician\nRegistered Nursing, Nursing Administration, Nursing Research and Clinical Nursing, Other\nRegistered Nursing/Registered Nurse\nReligion/Religious Studies\nResearch and Experimental Psychology, Other\nSecondary Education and Teaching\nSlavic Languages, Literatures, and Linguistics, General\nSocial Studies Teacher Education\nSocial Work\nSociology\nSouth Asian Studies\nSpanish Language and Literature\nSpecial Education and Teaching, General\nSpeech Communication and Rhetoric\nStatistics, General\nStructural Biology\nTeacher Education and Professional Development, Specific Subject Areas, Other\nUral-Altaic and Central Asian Studies\nVision Science/Physiological Optics""]",123,"{""avg_gpa"":3.72,""sat_math"":{""avg"":-1,""lrange"":""570"",""rrange"":""690""},""sat_ebrw"":{""avg"":""620"",""lrange"":""580"",""rrange"":""670""},""act_composite"":{""avg"":""28"",""lrange"":""24"",""rrange"":""31""}}",,0.64,Public,28352
,John Carroll University,3026,3264,0.85,60217,-1,-1,"University Heights, OH","[""Accounting\nArt History, Criticism and Conservation\nAsian Studies/Civilization\nBiological and Physical Sciences\nBiology/Biological Sciences, General\nBusiness Administration and Management, General\nChemistry, General\nClassics and Classical Languages, Literatures, and Linguistics, General\nComparative Literature\nComputer Science\nEast Asian Studies\nEconomics, General\n Education, General\nElementary Education and Teaching\nEngineering Physics/Applied Physics\nEnglish Language and Literature, General\nEnvironmental Studies\nFinance, General\nFrench Language and Literature\nGerman Language and Literature\nGerontology\nHistory, General\nHuman Resources Management/Personnel Administration, General\nHumanities/Humanistic Studies\nInternational Business/Trade/Commerce\nInternational Economics\nInternational Relations and Affairs"",""Kindergarten/Preschool Education and Teaching\nLatin Language and Literature\nMarketing/Marketing Management, General\nMass Communication/Media Studies\nMathematics, General\nModern Greek Language and Literature\nMulti-/Interdisciplinary Studies, General\nNeuroscience\nPeace Studies and Conflict Resolution\nPhilosophy\nPhysical Education Teaching and Coaching\nPhysics, General\nPolitical Science and Government, General\nPre-Dentistry Studies\nPre-Law Studies\nPre-Medicine/Pre-Medical Studies\nPre-Veterinary Studies\nPsychology, General\nPublic Administration\nReligion/Religious Studies\nReligious Education\nSecondary Education and Teaching\nSociology\nSpanish Language and Literature\nSpecial Education and Teaching, General\nTeacher Education, Multiple Levels""]",305,"{""avg_gpa"":3.55,""sat_math"":{""avg"":-1,""lrange"":""490"",""rrange"":""570""},""sat_ebrw"":{""avg"":""536"",""lrange"":""510"",""rrange"":""570""},""act_composite"":{""avg"":""25"",""lrange"":""22"",""rrange"":""27""}}",,0.71,Private non-profit,33508
,Iona College,3287,8854.56,0.88,59258,-1,-1,"New Rochelle, NY","[""Accounting\nAdvertising\nApplied Mathematics, General\nAudiology/Audiologist and Speech-Language Pathology/Pathologist\nBiochemistry\nBiology Teacher Education\nBiology/Biological Sciences, General\nBusiness Administration and Management, General\nChemistry, General\nComputer Science\nComputer Systems Networking and Telecommunications\nComputer and Information Systems Security/Information Assurance\nCriminal Justice/Law Enforcement Administration\nEarly Childhood Education and Teaching\nEconomics, General\nElementary Education and Teaching\nEnglish Language and Literature, General\nEnglish/Language Arts Teacher Education\nEnvironmental Biology\nEnvironmental Studies\nFinance, General\nForeign Language Teacher Education\nFrench Language Teacher Education\nFrench Language and Literature\nHealth/Health Care Administration/Management\nHistory, General"",""International Business/Trade/Commerce\nInternational Relations and Affairs\nItalian Language and Literature\nJournalism\n Liberal Arts and Sciences/Liberal Studies\nManagement Information Systems, General\nMarketing/Marketing Management, General\nMass Communication/Media Studies\nMathematics Teacher Education\nMathematics, General\nMental Health Counseling/Counselor\nPhilosophy\nPhysics, General\nPolitical Science and Government, General\nPsychology, General\nPublic Relations/Image Management\nRadio and Television\nReligion/Religious Studies\nSecondary Education and Teaching\nSocial Studies Teacher Education\nSocial Work\nSociology\nSpanish Language Teacher Education\nSpanish Language and Literature\nSpeech Communication and Rhetoric\nWeb Page, Digital/Multimedia and Information Resources Design""]",401-500,"{""avg_gpa"":3,""sat_math"":{""avg"":-1,""lrange"":""490"",""rrange"":""580""},""sat_ebrw"":{""avg"":""550"",""lrange"":""500"",""rrange"":""590""},""act_composite"":{""avg"":""23"",""lrange"":""20"",""rrange"":""26""}}",,0.59,Private non-profit,32396
,Kalamazoo College,1467,2460.83,0.73,63176,-1,-1,"Kalamazoo, MI","[""Art History, Criticism and Conservation\nArt/Art Studies, General\nBiology/Biological Sciences, General\nBusiness/Commerce, General\nChemistry, General\nClassical, Ancient Mediterranean and Near Eastern Studies and Archaeology\nComputer and Information Sciences, General\nDrama and Dramatics/Theatre Arts, General\nEast Asian Studies\nEconomics, General\nEnglish Language and Literature, General\nEthnic, Cultural Minority, Gender, and Group Studies, Other\nFrench Language and Literature"",""German Language and Literature\nHistory, General\nInternational Relations and Affairs\nMathematics, General\nMulti-/Interdisciplinary Studies, Other\nMusic, General\nPhilosophy\nPhysics, General\nPolitical Science and Government, General\nPsychology, General\nReligion/Religious Studies\nSocial Sciences, Other\nSpanish Language and Literature""]",181,"{""avg_gpa"":3.84,""sat_math"":{""avg"":-1,""lrange"":""550"",""rrange"":""680""},""sat_ebrw"":{""avg"":""640"",""lrange"":""590"",""rrange"":""690""},""act_composite"":{""avg"":""28"",""lrange"":""24"",""rrange"":""31""}}",,0.73,Private non-profit,32226
,Kennesaw State University,32274,7787.66,0.58,-1,26733,40459,"Kennesaw, GA","[""Accounting\nAfrican Studies\nAnthropology\nApplied Mathematics, General\nArchitecture\nArt History, Criticism and Conservation\nArt Teacher Education\nArt/Art Studies, General\nAsian Studies/Civilization\nBiochemistry\nBiology Teacher Education\nBiology/Biological Sciences, General\nBusiness Administration and Management, General\nBusiness/Managerial Economics\nChemistry, General\nCivil Engineering, General\nCommunication and Media Studies, Other\nComputer Engineering Technology/Technician\nComputer Programming, Specific Applications\nComputer Science\nComputer Software Engineering\nComputer and Information Sciences, General\nComputer and Information Systems Security/Information Assurance\nConstruction Engineering\nConstruction Management\nCriminal Justice/Safety Studies\nDance, General\nDigital Arts\nDrama and Dramatics/Theatre Arts, General\nEarly Childhood Education and Teaching\nElectrical and Electronics Engineering\nElectrical, Electronic and Communications Engineering Technology/Technician\nElementary Education and Teaching\nEngineering Technology, General\nEngineering/Industrial Management\nEnglish Language and Literature, General\nEnglish/Language Arts Teacher Education\nEntrepreneurship/Entrepreneurial Studies\nEnvironmental Science\nEnvironmental/Environmental Health Engineering\nFinance, General"",""Foreign Languages, Literatures, and Linguistics, Other\nGame and Interactive Media Design\nGeographic Information Science and Cartography\nGeography\nHistory, General\nHuman Services, General\nIndustrial Production Technologies/Technicians, Other\nInformation Science/Studies\nInformation Technology\nInternational Business/Trade/Commerce\nInternational Relations and Affairs\nJournalism\nJunior High/Intermediate/Middle School Education and Teaching\nKinesiology and Exercise Science\nLogistics, Materials, and Supply Chain Management\nMarketing/Marketing Management, General\nMathematics, General\nMechanical Engineering\nMechanical Engineering/Mechanical Technology/Technician\nMulti-/Interdisciplinary Studies, Other\nMusic Performance, General\nMusic Teacher Education\nMusic, General\nPhilosophy\nPhysical Education Teaching and Coaching\nPhysics Teacher Education\nPhysics, General\nPolitical Science and Government, General\nPsychology, General\nPublic Health Education and Promotion\nPublic Relations, Advertising, and Applied Communication\nRegistered Nursing/Registered Nurse\nRestaurant/Food Services Management\nSales, Distribution, and Marketing Operations, General\nSocial Studies Teacher Education\nSociology\nSpeech Communication and Rhetoric\nSport and Fitness Administration/Management\nSurveying Technology/Surveying\nSystems Engineering\nVisual and Performing Arts, General""]",> 600,"{""avg_gpa"":3.38,""sat_math"":{""avg"":-1,""lrange"":-1,""rrange"":-1},""sat_ebrw"":{""avg"":-1,""lrange"":-1,""rrange"":-1},""act_composite"":{""avg"":-1,""lrange"":-1,""rrange"":-1}}",,0.13,Public,25525
,Lawrence Technological University,2172,1830.66,0.78,51846,-1,-1,"Southfield, MI","[""Accounting\nAnimation, Interactive Technology, Video Graphics and Special Effects\nArchitectural Engineering\nArchitectural and Building Sciences/Technology\nBiochemistry\nBioengineering and Biomedical Engineering\nBusiness Administration and Management, General\nChemistry, General\nCivil Engineering, General\nComputer Engineering, General\nComputer Science\nComputer Software Engineering\nConstruction Management\nDesign and Visual Communications, General\nDigital Communication and Media/Multimedia\nElectrical and Electronics Engineering\nEngineering Technology, General\nEnglish Language and Literature, General\nEnvironmental Chemistry"",""Finance, General\nHumanities/Humanistic Studies\nIndustrial Engineering\nIndustrial and Product Design\nInformation Resources Management\nInformation Technology\nInterior Architecture\nMarketing Research\nMathematics and Computer Science\nMathematics, General\nMechanical Engineering\nMechatronics, Robotics, and Automation Engineering\nMolecular Biology\nPhysics, General\nPhysics, Other\nPsychology, General\nRegistered Nursing/Registered Nurse\nSpeech Communication and Rhetoric\nTelecommunications Technology/Technician""]",401-500,"{""avg_gpa"":3.44,""sat_math"":{""avg"":-1,""lrange"":""520"",""rrange"":""650""},""sat_ebrw"":{""avg"":-1,""lrange"":""510"",""rrange"":""630""},""act_composite"":{""avg"":""25"",""lrange"":""23"",""rrange"":""28""}}",,0.17,Private non-profit,32735
,Manhattan College,3654,5911.5,0.75,63534,-1,-1,"Riverdale, NY","[""Accounting\nBiochemistry\nBiology/Biological Sciences, General\nBiotechnology\nChemical Engineering\nChemistry, General\nCivil Engineering, General\nClassics and Classical Languages, Literatures, and Linguistics, General\nComputer Engineering, General\nComputer Science\nEconomics, General\nEducation, General\nElectrical and Electronics Engineering\nElementary Education and Teaching\nEngineering, General\nEnglish Language and Literature, General\nEnvironmental/Environmental Health Engineering\nFinance, General\nFrench Language and Literature\nHistory, General\nInternational Relations and Affairs\nJunior High/Intermediate/Middle School Education and Teaching"",""Liberal Arts and Sciences/Liberal Studies\nManagement Science\nMarketing/Marketing Management, General\nMathematics, General\nMechanical Engineering\nMulti-/Interdisciplinary Studies, Other\n Nuclear Medical Technology/Technologist\nNuclear and Industrial Radiologic Technologies/Technicians, Other\nOrganizational Behavior Studies\nPeace Studies and Conflict Resolution\nPhilosophy\nPhysical Education Teaching and Coaching\nPhysics, General\nPolitical Science and Government, General\nPsychology, General\nRadiologic Technology/Science - Radiographer\nReligion/Religious Studies\nSociology\nSpanish Language and Literature\nSpecial Education and Teaching, General\nTeacher Education, Multiple Levels\nUrban Studies/Affairs""]",266,"{""avg_gpa"":3.4,""sat_math"":{""avg"":-1,""lrange"":""530"",""rrange"":""630""},""sat_ebrw"":{""avg"":-1,""lrange"":""540"",""rrange"":""630""},""act_composite"":{""avg"":-1,""lrange"":-1,""rrange"":-1}}",,0.58,Private non-profit,35000
,Massachusetts Institute of Technology,4602,1417.2900000000002,0.07,73160,-1,-1,"Cambridge, MA","[""Aerospace, Aeronautical and Astronautical/Space Engineering\nAnthropology\nArchitecture\nBioengineering and Biomedical Engineering\nBiology/Biological Sciences, General\nBusiness/Commerce, General\nChemical Engineering\nChemical and Biomolecular Engineering\nChemistry, General\nCity/Urban, Community and Regional Planning\nCivil Engineering, General\nCognitive Science\nComputational Biology\nComputer Science\nCreative Writing\nDrama and Dramatics/Theatre Arts, General\nEconometrics and Quantitative Economics\nElectrical and Electronics Engineering\nEnglish Language and Literature, General\nEnvironmental/Environmental Health Engineering"",""Financial Mathematics\nForeign Languages and Literatures, General\nGeology/Earth Science, General\nHistory, General\nLiberal Arts and Sciences/Liberal Studies\nLinguistics\nManagement Sciences and Quantitative Methods, Other\nMass Communication/Media Studies\nMaterials Engineering\nMathematics and Computer Science\nMathematics, General\nMechanical Engineering\nMusic, General\nNeuroscience\nNuclear Engineering\nPhilosophy\nPhysics, General\n Political Science and Government, General\nScience, Technology and Society""]",2,"{""avg_gpa"":-1,""sat_math"":{""avg"":-1,""lrange"":""780"",""rrange"":""800""},""sat_ebrw"":{""avg"":""741"",""lrange"":""720"",""rrange"":""770""},""act_composite"":{""avg"":""35"",""lrange"":""34"",""rrange"":""36""}}",,0.85,Private non-profit,22696
,Mercer University,3372,3466.77,0.73,53394,-1,-1,"Macon, GA","[""Accounting\nAfrican-American/Black Studies\nArt/Art Studies, General\nBiochemistry\nBiology/Biological Sciences, General\nBusiness Administration, Management and Operations, Other\nBusiness/Commerce, General\nChemistry, General\nChemistry, Other\nClassics and Classical Languages, Literatures, and Linguistics, General\nComputational Science\nComputer Science\nCreative Writing\nCriminology\nDrama and Dramatics/Theatre Arts, General\nEconomics, General\nElementary Education and Teaching\nEngineering, General\nEngineering/Industrial Management\nEnglish Language and Literature, General\nEntrepreneurship/Entrepreneurial Studies\nFinance, General\nFrench Language and Literature\nGerman Language and Literature\nGraphic Design\nHealth/Medical Preparatory Programs, Other\nHistory, General\nHuman Resources Management/Personnel Administration, General\nHuman Services, General\nInformation Science/Studies\nInternational Business/Trade/Commerce\nInternational Public Health/International Health"",""International Relations and Affairs\nInternational/Global Studies\nJournalism\nJunior High/Intermediate/Middle School Education and Teaching\nLatin Language and Literature\nLiberal Arts and Sciences/Liberal Studies\nManagement Sciences and Quantitative Methods, Other\nMarketing, Other\nMarketing/Marketing Management, General\nMass Communication/Media Studies\nMathematics, General\nMulti-/Interdisciplinary Studies, Other\nMusic Performance, General\nMusic Teacher Education\nMusic, General\nMusic, Other\nNeuroscience\nPhilosophy\nPhysics, General\nPolitical Science and Government, General\nPre-Medicine/Pre-Medical Studies\nPsychology, General\nPublic Health, General\nPublic Policy Analysis, General\nRegional Studies (U.S., Canadian, Foreign)\nRegistered Nursing/Registered Nurse\nReligion/Religious Studies\nSociology\nSpanish Language and Literature\nSpeech Communication and Rhetoric\nTechnical and Scientific Communication\nWomen's Studies""]",234,"{""avg_gpa"":3.86,""sat_math"":{""avg"":-1,""lrange"":""580"",""rrange"":""670""},""sat_ebrw"":{""avg"":""633"",""lrange"":""600"",""rrange"":""670""},""act_composite"":{""avg"":""27"",""lrange"":""25"",""rrange"":""30""}}",,0.48,Private non-profit,24748
,Merrimack College,3726,7194.44,0.83,58150,-1,-1,"North Andover, MA","[""Accounting\nApplied Mathematics, Other\nArt History, Criticism and Conservation\nBiochemistry\nBiology Teacher Education\nBiology/Biological Sciences, General\nBusiness Administration and Management, General\nChemistry Teacher Education\nChemistry, General\nCivil Engineering, General\nCommunication, Journalism, and Related Programs, Other\nComputer Engineering, General\nComputer Science\nCriminal Justice/Law Enforcement Administration\nDesign and Applied Arts, Other\nDrama and Dramatics/Theatre Arts, General\nEarly Childhood Education and Teaching\nEconomics, General\nEducation, General\nElectrical and Electronics Engineering\nElementary Education and Teaching\nEnglish Language and Literature, General\nEnglish/Language Arts Teacher Education\nEnvironmental Science\nEnvironmental Studies\nExercise Physiology\nFamily and Community Services\nFinance, General\nFinancial Planning and Services\nFrench Language Teacher Education\nFrench Language and Literature\nHealth Professions and Related Clinical Sciences, Other\nHealth Services/Allied Health/Health Sciences, General\n History Teacher Education"",""History, General\nHuman Development, Family Studies, and Related Services, Other\nHuman Resources Management/Personnel Administration, General\nInformation Technology\nInternational Business/Trade/Commerce\nInternational/Global Studies\nItalian Studies\nJunior High/Intermediate/Middle School Education and Teaching\nLiberal Arts and Sciences/Liberal Studies\nMarketing/Marketing Management, General\nMathematics Teacher Education\nMathematics, General\nMechanical Engineering\nMulti-/Interdisciplinary Studies, General\nNutrition Sciences\nPhilosophy\nPhysics Teacher Education\nPhysics, General\nPolitical Science and Government, General\nPre-Physical Therapy Studies\nPsychology, General\nPublic Health, General\nReligion/Religious Studies\nRomance Languages, Literatures, and Linguistics, General\nScience Teacher Education/General Science Teacher Education\nSecondary Education and Teaching\nSocial Studies Teacher Education\nSociology\nSpanish Language Teacher Education\nSpanish Language and Literature\nSpecial Education and Teaching, General\nSport and Fitness Administration/Management\nTeacher Education, Multiple Levels\nWomen's Studies""]",401-500,"{""avg_gpa"":3.17,""sat_math"":{""avg"":-1,""lrange"":-1,""rrange"":-1},""sat_ebrw"":{""avg"":-1,""lrange"":-1,""rrange"":-1},""act_composite"":{""avg"":-1,""lrange"":-1,""rrange"":-1}}",,0.65,Private non-profit,NaN
