userid,college,status
40_NY_8,Saint Louis University,accepted
40_NY_8,Illinois College,pending
40_NY_8,Stevenson University,pending
40_NY_8,"University of Nevada, Las Vegas",accepted
40_NY_8,Central Connecticut State University,pending
40_NY_8,Williams College,denied
40_NY_9,Texas Christian University,accepted
40_NY_9,University of Central Florida,accepted
40_NY_9,Indiana University Bloomington,accepted
40_NY_9,Kalamazoo College,accepted
40_NY_9,Saint Louis University,accepted
40_NY_9,Illinois College,accepted
40_NY_9,Stevenson University,accepted
40_NY_9,"University of Nevada, Las Vegas",accepted
40_NY_9,Central Connecticut State University,accepted
40_NY_9,Williams College,denied
40_NY_10,Texas Christian University,accepted
40_NY_10,University of Central Florida,accepted
40_NY_10,Indiana University Bloomington,accepted
40_NY_10,Kalamazoo College,accepted
40_NY_10,Missouri University of Science and Technology,accepted
40_NY_10,Stevenson University,accepted
40_NY_10,"University of Nevada, Las Vegas",pending
40_NY_10,Vassar College,denied
40_NY_10,Central Connecticut State University,accepted
40_NY_10,Williams College,denied
40_NY_11,Texas Christian University,accepted
40_NY_11,University of Central Florida,accepted
40_NY_11,Indiana University Bloomington,accepted
40_NY_11,Kalamazoo College,accepted
40_NY_11,Temple University,accepted
40_NY_11,Vassar College,denied
40_NY_11,Stevenson University,accepted
40_NY_11,"University of Nevada, Las Vegas",accepted
40_NY_11,Central Connecticut State University,accepted
40_NY_11,Williams College,denied
40_NY_12,Texas Christian University,accepted
40_NY_12,University of Central Florida,accepted
40_NY_12,Indiana University Bloomington,accepted
40_NY_12,Kalamazoo College,accepted
40_NY_12,Temple University,accepted
40_NY_12,Vassar College,denied
40_NY_12,Stevenson University,accepted
40_NY_12,"University of Nevada, Las Vegas",accepted
40_NY_12,Central Connecticut State University,accepted
40_NY_12,Williams College,denied
40_NY_13,Texas Christian University,accepted
40_NY_13,University of Central Florida,pending
40_NY_13,Indiana University Bloomington,pending
40_NY_13,Kalamazoo College,accepted
40_NY_13,Missouri University of Science and Technology,accepted
40_NY_13,Stevenson University,accepted
40_NY_13,"University of Nevada, Las Vegas",accepted
40_NY_13,Vassar College,pending
40_NY_13,Central Connecticut State University,accepted
40_NY_13,Williams College,denied
40_NY_14,Texas Christian University,accepted
40_NY_14,University of Central Florida,accepted
40_NY_14,Indiana University Bloomington,accepted
40_NY_14,Kalamazoo College,accepted
40_NY_14,Saint Louis University,accepted
40_NY_14,Illinois College,accepted
40_NY_14,Stevenson University,accepted
40_NY_14,"University of Nevada, Las Vegas",pending
40_NY_14,Central Connecticut State University,accepted
40_NY_14,Williams College,pending
40_NY_15,Kalamazoo College,accepted
40_NY_15,University of Central Florida,accepted
40_NY_15,Indiana University Bloomington,accepted
40_NY_15,Texas Christian University,accepted
40_NY_15,Saint Louis University,accepted
40_NY_15,Illinois College,accepted
40_NY_15,Stevenson University,accepted
40_NY_15,Williams College,denied
40_NY_15,"University of Nevada, Las Vegas",accepted
40_NY_15,Central Connecticut State University,accepted
40_NY_16,Texas Christian University,accepted
40_NY_16,Centre College,accepted
40_NY_16,University of Central Florida,accepted
40_NY_16,Indiana University Bloomington,accepted
40_NY_16,American University,accepted
40_NY_16,Iona College,accepted
40_NY_16,Illinois College,accepted
40_NY_16,Carnegie Mellon University,denied
40_NY_16,Stevenson University,accepted
40_NY_16,Princeton University,denied
40_NY_17,Texas Christian University,accepted
40_NY_17,University of Central Florida,pending
40_NY_17,Indiana University Bloomington,accepted
40_NY_17,Kalamazoo College,accepted
40_NY_17,Temple University,accepted
40_NY_17,Vassar College,denied
40_NY_17,Stevenson University,accepted
40_NY_17,"University of Nevada, Las Vegas",accepted
40_NY_17,Central Connecticut State University,accepted
40_NY_17,Williams College,denied
40_NY_18,Kalamazoo College,accepted
40_NY_18,University of Central Florida,accepted
40_NY_18,Indiana University Bloomington,accepted
40_NY_18,Texas Christian University,pending
40_NY_18,Saint Louis University,accepted
40_NY_18,Illinois College,accepted
40_NY_18,Stevenson University,accepted
40_NY_18,Williams College,denied
40_NY_18,"University of Nevada, Las Vegas",accepted
40_NY_18,Central Connecticut State University,accepted
40_NY_19,Texas Christian University,accepted
40_NY_19,University of Central Florida,accepted
40_NY_19,Indiana University Bloomington,accepted
40_NY_19,Kalamazoo College,accepted
40_NY_19,Saint Louis University,accepted
40_NY_19,Illinois College,accepted
40_NY_19,Stevenson University,pending
40_NY_19,"University of Nevada, Las Vegas",accepted
40_NY_19,Central Connecticut State University,accepted
40_NY_19,Williams College,denied
40_NY_20,University of Central Florida,accepted
40_NY_20,Indiana University Bloomington,accepted
40_NY_20,Texas Christian University,accepted
40_NY_20,Kalamazoo College,accepted
40_NY_20,Saint Louis University,accepted
40_NY_20,Illinois College,accepted
40_NY_20,Stevenson University,accepted
40_NY_20,"University of Nevada, Las Vegas",accepted
40_NY_20,Central Connecticut State University,accepted
40_NY_20,Williams College,denied
40_NY_21,Temple University,accepted
40_NY_21,Transylvania University,accepted
40_NY_21,University of Delaware,pending
40_NY_21,Missouri University of Science and Technology,accepted
40_NY_21,Drake University,accepted
40_NY_21,"University of Nevada, Las Vegas",accepted
40_NY_21,Central Connecticut State University,accepted
40_NY_21,Colgate University,denied
40_NY_21,Vassar College,denied
40_NY_21,"California State University, Monterey Bay",accepted
40_NY_22,Texas Christian University,accepted
40_NY_22,University of Central Florida,accepted
40_NY_22,Indiana University Bloomington,pending
40_NY_22,Kalamazoo College,accepted
40_NY_22,Missouri University of Science and Technology,accepted
40_NY_22,Stevenson University,accepted
40_NY_22,"University of Nevada, Las Vegas",accepted
40_NY_22,Vassar College,denied
40_NY_22,Central Connecticut State University,accepted
40_NY_22,Williams College,denied
40_NY_23,Texas Christian University,accepted
40_NY_23,University of Central Florida,accepted
40_NY_23,Indiana University Bloomington,accepted
40_NY_23,Kalamazoo College,accepted
40_NY_23,Temple University,accepted
40_NY_23,Vassar College,denied
40_NY_23,Stevenson University,accepted
40_NY_23,"University of Nevada, Las Vegas",accepted
40_NY_23,Central Connecticut State University,accepted
40_NY_23,Williams College,denied
40_NY_24,Texas Christian University,accepted
40_NY_24,University of Central Florida,accepted
40_NY_24,Indiana University Bloomington,accepted
40_NY_24,Kalamazoo College,accepted
40_NY_24,Saint Louis University,accepted
40_NY_24,Illinois College,pending
40_NY_24,Stevenson University,accepted
40_NY_24,"University of Nevada, Las Vegas",accepted
40_NY_24,Central Connecticut State University,accepted
40_NY_24,Williams College,denied
40_NY_25,Texas Christian University,accepted
40_NY_25,University of Central Florida,accepted
40_NY_25,Indiana University Bloomington,accepted
40_NY_25,Kalamazoo College,accepted
40_NY_25,Saint Louis University,accepted
40_NY_25,Illinois College,accepted
40_NY_25,Stevenson University,accepted
40_NY_25,"University of Nevada, Las Vegas",accepted
40_NY_25,Central Connecticut State University,accepted
40_NY_25,Williams College,denied
40_NY_26,Texas Christian University,accepted
40_NY_26,University of Central Florida,accepted
40_NY_26,Indiana University Bloomington,accepted
40_NY_26,Kalamazoo College,pending
40_NY_26,Saint Louis University,accepted
40_NY_26,Illinois College,accepted
40_NY_26,Stevenson University,accepted
40_NY_26,"University of Nevada, Las Vegas",accepted
40_NY_26,Central Connecticut State University,accepted
40_NY_26,Williams College,denied
40_NY_27,Texas Christian University,pending
40_NY_27,University of Central Florida,accepted
40_NY_27,Indiana University Bloomington,accepted
40_NY_27,Kalamazoo College,accepted
40_NY_27,Temple University,accepted
40_NY_27,Vassar College,denied
40_NY_27,Stevenson University,accepted
40_NY_27,"University of Nevada, Las Vegas",accepted
40_NY_27,Central Connecticut State University,accepted
40_NY_27,Williams College,denied
40_NY_28,Texas Christian University,accepted
40_NY_28,University of Central Florida,accepted
40_NY_28,Indiana University Bloomington,pending
40_NY_28,Kalamazoo College,accepted
40_NY_28,Missouri University of Science and Technology,accepted
40_NY_28,Stevenson University,accepted
40_NY_28,"University of Nevada, Las Vegas",accepted
40_NY_28,Vassar College,denied
40_NY_28,Central Connecticut State University,accepted
40_NY_28,Williams College,denied
40_NY_29,University of Central Florida,accepted
40_NY_29,Indiana University Bloomington,accepted
40_NY_29,Texas Christian University,accepted
40_NY_29,Kalamazoo College,accepted
40_NY_29,Saint Louis University,accepted
40_NY_29,Illinois College,accepted
40_NY_29,Stevenson University,accepted
40_NY_29,"University of Nevada, Las Vegas",accepted
40_NY_29,Central Connecticut State University,accepted
40_NY_29,Williams College,denied
40_NY_30,University of Central Florida,accepted
40_NY_30,Indiana University Bloomington,accepted
40_NY_30,Texas Christian University,accepted
40_NY_30,Kalamazoo College,accepted
40_NY_30,Saint Louis University,accepted
40_NY_30,Illinois College,accepted
40_NY_30,Stevenson University,accepted
40_NY_30,"University of Nevada, Las Vegas",accepted
40_NY_30,Central Connecticut State University,pending
40_NY_30,Williams College,denied
40_NY_31,Texas Christian University,accepted
40_NY_31,University of Central Florida,accepted
40_NY_31,Indiana University Bloomington,accepted
40_NY_31,Kalamazoo College,accepted
40_NY_31,Saint Louis University,accepted
40_NY_31,Illinois College,accepted
40_NY_31,Stevenson University,accepted
40_NY_31,"University of Nevada, Las Vegas",accepted
40_NY_31,Central Connecticut State University,accepted
40_NY_31,Williams College,denied
40_NY_32,Texas Christian University,accepted
40_NY_32,University of Central Florida,accepted
40_NY_32,Indiana University Bloomington,pending
40_NY_32,Kalamazoo College,accepted
40_NY_32,Saint Louis University,accepted
40_NY_32,Illinois College,accepted
40_NY_32,Stevenson University,accepted
40_NY_32,"University of Nevada, Las Vegas",accepted
40_NY_32,Central Connecticut State University,accepted
40_NY_32,Williams College,denied
40_NY_33,University of Central Florida,accepted
40_NY_33,Indiana University Bloomington,accepted
40_NY_33,Texas Christian University,accepted
40_NY_33,Kalamazoo College,accepted
40_NY_33,Saint Louis University,accepted
40_NY_33,Illinois College,accepted
40_NY_33,Stevenson University,accepted
40_NY_33,"University of Nevada, Las Vegas",accepted
40_NY_33,Central Connecticut State University,accepted
40_NY_33,Williams College,denied
40_NY_34,Texas Christian University,accepted
40_NY_34,University of Central Florida,accepted
40_NY_34,Indiana University Bloomington,accepted
40_NY_34,Kalamazoo College,accepted
40_NY_34,Temple University,accepted
40_NY_34,Vassar College,denied
40_NY_34,Stevenson University,accepted
40_NY_34,"University of Nevada, Las Vegas",accepted
40_NY_34,Central Connecticut State University,pending
40_NY_34,Williams College,denied
40_NY_35,Texas Christian University,accepted
40_NY_35,University of Central Florida,accepted
40_NY_35,Indiana University Bloomington,accepted
40_NY_35,Kalamazoo College,accepted
40_NY_35,Temple University,accepted
40_NY_35,Vassar College,denied
40_NY_35,Stevenson University,accepted
40_NY_35,"University of Nevada, Las Vegas",accepted
40_NY_35,Central Connecticut State University,accepted
40_NY_35,Williams College,denied
40_NY_36,Texas Christian University,accepted
40_NY_36,University of Central Florida,accepted
40_NY_36,Indiana University Bloomington,accepted
40_NY_36,Kalamazoo College,accepted
40_NY_36,Saint Louis University,accepted
40_NY_36,Illinois College,accepted
40_NY_36,Stevenson University,accepted
40_NY_36,"University of Nevada, Las Vegas",accepted
40_NY_36,Central Connecticut State University,accepted
40_NY_36,Williams College,denied
40_NY_37,Texas Christian University,accepted
40_NY_37,Centre College,accepted
40_NY_37,University of Central Florida,accepted
40_NY_37,Indiana University Bloomington,accepted
40_NY_37,American University,accepted
40_NY_37,Illinois College,accepted
40_NY_37,Williams College,denied
40_NY_37,Stevenson University,accepted
40_NY_37,"University of Nevada, Las Vegas",accepted
40_NY_37,Carnegie Mellon University,denied
40_NY_38,University of Central Florida,accepted
40_NY_38,Indiana University Bloomington,accepted
40_NY_38,Texas Christian University,accepted
40_NY_38,Kalamazoo College,pending
40_NY_38,Saint Louis University,accepted
40_NY_38,Illinois College,accepted
40_NY_38,Stevenson University,accepted
40_NY_38,"University of Nevada, Las Vegas",accepted
40_NY_38,Central Connecticut State University,accepted
40_NY_38,Williams College,denied
40_NY_39,Texas Christian University,accepted
40_NY_39,University of Central Florida,accepted
40_NY_39,Indiana University Bloomington,accepted
40_NY_39,Kalamazoo College,accepted
40_NY_39,Missouri University of Science and Technology,pending
40_NY_39,Stevenson University,accepted
40_NY_39,"University of Nevada, Las Vegas",accepted
40_NY_39,Vassar College,denied
40_NY_39,Central Connecticut State University,accepted
40_NY_39,Williams College,denied
40_IL_40,Texas Christian University,pending
40_IL_40,University of Central Florida,accepted
40_IL_40,Indiana University Bloomington,accepted
40_IL_40,Kalamazoo College,accepted
40_IL_40,Temple University,accepted
40_IL_40,Vassar College,denied
40_IL_40,Stevenson University,accepted
40_IL_40,"University of Nevada, Las Vegas",accepted
40_IL_40,Central Connecticut State University,accepted
40_IL_40,Williams College,denied
40_IL_41,Texas Christian University,accepted
40_IL_41,University of Central Florida,accepted
40_IL_41,Indiana University Bloomington,accepted
40_IL_41,Kalamazoo College,accepted
40_IL_41,Missouri University of Science and Technology,accepted
40_IL_41,Stevenson University,accepted
40_IL_41,"University of Nevada, Las Vegas",accepted
40_IL_41,Vassar College,denied
40_IL_41,Central Connecticut State University,accepted
40_IL_41,Williams College,pending
40_IL_42,Texas Christian University,accepted
40_IL_42,University of Central Florida,accepted
40_IL_42,Indiana University Bloomington,accepted
40_IL_42,Kalamazoo College,pending
40_IL_42,Temple University,accepted
40_IL_42,Vassar College,denied
40_IL_42,Stevenson University,accepted
40_IL_42,"University of Nevada, Las Vegas",accepted
40_IL_42,Central Connecticut State University,accepted
40_IL_42,Williams College,denied
40_IL_43,Texas Christian University,accepted
40_IL_43,University of Central Florida,accepted
40_IL_43,Indiana University Bloomington,accepted
40_IL_43,Kalamazoo College,accepted
40_IL_43,Saint Louis University,accepted
40_IL_43,Illinois College,accepted
40_IL_43,Stevenson University,accepted
40_IL_43,"University of Nevada, Las Vegas",accepted
40_IL_43,Central Connecticut State University,accepted
40_IL_43,Williams College,denied
40_IL_44,University of Central Florida,accepted
40_IL_44,Indiana University Bloomington,accepted
40_IL_44,Texas Christian University,accepted
40_IL_44,Kalamazoo College,accepted
40_IL_44,Saint Louis University,accepted
40_IL_44,Illinois College,pending
40_IL_44,Stevenson University,accepted
40_IL_44,"University of Nevada, Las Vegas",accepted
40_IL_44,Central Connecticut State University,accepted
40_IL_44,Williams College,denied
40_IL_45,Texas Christian University,accepted
40_IL_45,University of Central Florida,accepted
40_IL_45,Indiana University Bloomington,accepted
40_IL_45,Kalamazoo College,accepted
40_IL_45,Saint Louis University,accepted
40_IL_45,Illinois College,accepted
40_IL_45,Stevenson University,accepted
40_IL_45,"University of Nevada, Las Vegas",accepted
40_IL_45,Central Connecticut State University,accepted
40_IL_45,Williams College,pending
40_IL_46,Texas Christian University,accepted
40_IL_46,University of Central Florida,accepted
40_IL_46,Indiana University Bloomington,accepted
40_IL_46,Kalamazoo College,accepted
40_IL_46,Temple University,accepted
40_IL_46,Vassar College,denied
40_IL_46,Stevenson University,accepted
40_IL_46,"University of Nevada, Las Vegas",accepted
40_IL_46,Central Connecticut State University,accepted
40_IL_46,Williams College,denied
40_IL_47,Texas Christian University,accepted
40_IL_47,University of Central Florida,accepted
40_IL_47,Indiana University Bloomington,accepted
40_IL_47,Kalamazoo College,accepted
40_IL_47,Saint Louis University,accepted
40_IL_47,Illinois College,accepted
40_IL_47,Stevenson University,accepted
40_IL_47,"University of Nevada, Las Vegas",pending
40_IL_47,Central Connecticut State University,accepted
40_IL_47,Williams College,denied
40_IL_48,Kalamazoo College,accepted
40_IL_48,University of Central Florida,accepted
40_IL_48,Indiana University Bloomington,accepted
40_IL_48,Texas Christian University,accepted
40_IL_48,Saint Louis University,accepted
40_IL_48,Illinois College,accepted
40_IL_48,Stevenson University,accepted
40_IL_48,Williams College,denied
40_IL_48,"University of Nevada, Las Vegas",accepted
40_IL_48,Central Connecticut State University,accepted
40_IL_49,University of Central Florida,accepted
40_IL_49,Indiana University Bloomington,accepted
40_IL_49,Texas Christian University,accepted
40_IL_49,Kalamazoo College,accepted
40_IL_49,Saint Louis University,accepted
40_IL_49,Illinois College,accepted
40_IL_49,Stevenson University,accepted
40_IL_49,"University of Nevada, Las Vegas",accepted
40_IL_49,Central Connecticut State University,accepted
40_IL_49,Williams College,denied
40_IL_50,Kalamazoo College,accepted
40_IL_50,University of Central Florida,accepted
40_IL_50,Indiana University Bloomington,accepted
40_IL_50,Texas Christian University,accepted
40_IL_50,Saint Louis University,accepted
40_IL_50,Illinois College,pending
40_IL_50,Stevenson University,accepted
40_IL_50,Williams College,denied
40_IL_50,"University of Nevada, Las Vegas",accepted
40_IL_50,Central Connecticut State University,accepted
40_IL_51,Kalamazoo College,accepted
40_IL_51,University of Central Florida,accepted
40_IL_51,Indiana University Bloomington,accepted
40_IL_51,Texas Christian University,accepted
40_IL_51,Saint Louis University,accepted
40_IL_51,Illinois College,accepted
40_IL_51,Stevenson University,accepted
40_IL_51,Williams College,denied
40_IL_51,"University of Nevada, Las Vegas",accepted
40_IL_51,Central Connecticut State University,accepted
40_IL_52,University of Central Florida,accepted
40_IL_52,Indiana University Bloomington,accepted
40_IL_52,Texas Christian University,accepted
40_IL_52,Kalamazoo College,accepted
40_IL_52,Saint Louis University,accepted
40_IL_52,Illinois College,accepted
40_IL_52,Stevenson University,accepted
40_IL_52,"University of Nevada, Las Vegas",pending
40_IL_52,Central Connecticut State University,accepted
40_IL_52,Williams College,denied
40_IL_53,Centre College,accepted
40_IL_53,University of Central Florida,accepted
40_IL_53,Indiana University Bloomington,accepted
40_IL_53,American University,accepted
40_IL_53,Texas Christian University,accepted
40_IL_53,Carnegie Mellon University,denied
40_IL_53,Iona College,accepted
40_IL_53,Illinois College,accepted
40_IL_53,Princeton University,denied
40_IL_53,Stevenson University,accepted
40_IL_54,University of Delaware,accepted
40_IL_54,Transylvania University,accepted
40_IL_54,Drake University,accepted
40_IL_54,Temple University,accepted
40_IL_54,Mercer University,pending
40_IL_54,"University of Nevada, Las Vegas",accepted
40_IL_54,Central Connecticut State University,accepted
40_IL_54,Colgate University,denied
40_IL_54,Vassar College,denied
40_IL_54,"California State University, Monterey Bay",accepted
40_IL_55,Texas Christian University,pending
40_IL_55,University of Central Florida,accepted
40_IL_55,Indiana University Bloomington,accepted
40_IL_55,Kalamazoo College,accepted
40_IL_55,Temple University,accepted
40_IL_55,Vassar College,pending
40_IL_55,Stevenson University,pending
40_IL_55,"University of Nevada, Las Vegas",accepted
40_IL_55,Central Connecticut State University,accepted
40_IL_55,Williams College,denied
40_IL_56,Kalamazoo College,accepted
40_IL_56,University of Central Florida,accepted
40_IL_56,Indiana University Bloomington,accepted
40_IL_56,Texas Christian University,accepted
40_IL_56,Saint Louis University,accepted
40_IL_56,Illinois College,accepted
40_IL_56,Stevenson University,accepted
40_IL_56,Williams College,denied
40_IL_56,"University of Nevada, Las Vegas",pending
40_IL_56,Central Connecticut State University,accepted
40_IL_57,Texas Christian University,accepted
40_IL_57,University of Central Florida,accepted
40_IL_57,Indiana University Bloomington,accepted
40_IL_57,Kalamazoo College,pending
40_IL_57,Saint Louis University,accepted
40_IL_57,Illinois College,accepted
40_IL_57,Stevenson University,accepted
40_IL_57,"University of Nevada, Las Vegas",accepted
40_IL_57,Central Connecticut State University,accepted
40_IL_57,Williams College,denied
40_IL_58,Texas Christian University,accepted
40_IL_58,University of Central Florida,accepted
40_IL_58,Indiana University Bloomington,accepted
40_IL_58,Kalamazoo College,accepted
40_IL_58,Temple University,accepted
40_IL_58,Vassar College,denied
40_IL_58,Stevenson University,accepted
40_IL_58,"University of Nevada, Las Vegas",accepted
40_IL_58,Central Connecticut State University,accepted
40_IL_58,Williams College,denied
40_IL_59,Texas Christian University,accepted
40_IL_59,University of Central Florida,accepted
40_IL_59,Indiana University Bloomington,accepted
40_IL_59,Kalamazoo College,accepted
40_IL_59,Saint Louis University,accepted
40_IL_59,Illinois College,accepted
40_IL_59,Stevenson University,accepted
40_IL_59,"University of Nevada, Las Vegas",accepted
40_IL_59,Central Connecticut State University,accepted
40_IL_59,Williams College,denied
40_IL_60,Texas Christian University,accepted
40_IL_60,Centre College,accepted
40_IL_60,University of Central Florida,accepted
40_IL_60,Indiana University Bloomington,accepted
40_IL_60,American University,accepted
40_IL_60,Illinois College,accepted
40_IL_60,Williams College,denied
40_IL_60,Stevenson University,accepted
40_IL_60,"University of Nevada, Las Vegas",accepted
40_IL_60,Carnegie Mellon University,denied
40_IL_61,Texas Christian University,accepted
40_IL_61,University of Central Florida,accepted
40_IL_61,Indiana University Bloomington,accepted
40_IL_61,Kalamazoo College,accepted
40_IL_61,Temple University,accepted
40_IL_61,Vassar College,denied
40_IL_61,Stevenson University,accepted
40_IL_61,"University of Nevada, Las Vegas",accepted
40_IL_61,Central Connecticut State University,pending
40_IL_61,Williams College,denied
40_IL_62,Texas Christian University,accepted
40_IL_62,University of Central Florida,accepted
40_IL_62,Indiana University Bloomington,accepted
40_IL_62,Kalamazoo College,accepted
40_IL_62,Saint Louis University,accepted
40_IL_62,Illinois College,accepted
40_IL_62,Stevenson University,accepted
40_IL_62,"University of Nevada, Las Vegas",pending
40_IL_62,Central Connecticut State University,accepted
40_IL_62,Williams College,denied
40_IL_63,Kalamazoo College,accepted
40_IL_63,University of Central Florida,accepted
40_IL_63,Indiana University Bloomington,accepted
40_IL_63,Texas Christian University,accepted
40_IL_63,Saint Louis University,accepted
40_IL_63,Illinois College,accepted
40_IL_63,Stevenson University,accepted
40_IL_63,Williams College,denied
40_IL_63,"University of Nevada, Las Vegas",accepted
40_IL_63,Central Connecticut State University,accepted
40_IL_64,Texas Christian University,accepted
40_IL_64,University of Central Florida,accepted
40_IL_64,Indiana University Bloomington,accepted
40_IL_64,Kalamazoo College,accepted
40_IL_64,Temple University,accepted
40_IL_64,Vassar College,denied
40_IL_64,Stevenson University,accepted
40_IL_64,"University of Nevada, Las Vegas",accepted
40_IL_64,Central Connecticut State University,accepted
40_IL_64,Williams College,denied
40_IL_65,Texas Christian University,accepted
40_IL_65,University of Central Florida,accepted
40_IL_65,Indiana University Bloomington,accepted
40_IL_65,Kalamazoo College,accepted
40_IL_65,Saint Louis University,accepted
40_IL_65,Illinois College,pending
40_IL_65,Stevenson University,accepted
40_IL_65,"University of Nevada, Las Vegas",accepted
40_IL_65,Central Connecticut State University,accepted
40_IL_65,Williams College,denied
40_IL_66,Texas Christian University,accepted
40_IL_66,Centre College,accepted
40_IL_66,University of Central Florida,accepted
40_IL_66,Indiana University Bloomington,accepted
40_IL_66,American University,accepted
40_IL_66,Illinois College,accepted
40_IL_66,Stevenson University,accepted
40_IL_66,"University of Nevada, Las Vegas",accepted
40_IL_66,Williams College,denied
40_IL_66,Central Connecticut State University,accepted
40_IL_67,Texas Christian University,accepted
40_IL_67,University of Central Florida,accepted
40_IL_67,Indiana University Bloomington,accepted
40_IL_67,Kalamazoo College,accepted
40_IL_67,Saint Louis University,accepted
40_IL_67,Illinois College,accepted
40_IL_67,Stevenson University,accepted
40_IL_67,"University of Nevada, Las Vegas",pending
40_IL_67,Central Connecticut State University,accepted
40_IL_67,Williams College,denied
40_IL_68,Kalamazoo College,accepted
40_IL_68,University of Central Florida,accepted
40_IL_68,Indiana University Bloomington,accepted
40_IL_68,Texas Christian University,pending
40_IL_68,Saint Louis University,accepted
40_IL_68,Illinois College,accepted
40_IL_68,Stevenson University,accepted
40_IL_68,Williams College,denied
40_IL_68,"University of Nevada, Las Vegas",accepted
40_IL_68,Central Connecticut State University,accepted
40_IL_69,Kalamazoo College,accepted
40_IL_69,University of Central Florida,accepted
40_IL_69,Indiana University Bloomington,pending
40_IL_69,Texas Christian University,accepted
40_IL_69,Saint Louis University,accepted
40_IL_69,Illinois College,accepted
40_IL_69,Stevenson University,accepted
40_IL_69,Williams College,denied
40_IL_69,"University of Nevada, Las Vegas",accepted
40_IL_69,Central Connecticut State University,accepted
40_IL_70,Centre College,accepted
40_IL_70,University of Central Florida,pending
40_IL_70,Indiana University Bloomington,accepted
40_IL_70,American University,accepted
40_IL_70,Texas Christian University,accepted
40_IL_70,Carnegie Mellon University,denied
40_IL_70,Iona College,accepted
40_IL_70,Illinois College,accepted
40_IL_70,Princeton University,denied
40_IL_70,Stevenson University,accepted
40_IL_71,Texas Christian University,pending
40_IL_71,University of Central Florida,accepted
40_IL_71,Indiana University Bloomington,accepted
40_IL_71,Kalamazoo College,accepted
40_IL_71,Temple University,accepted
40_IL_71,Vassar College,denied
40_IL_71,Stevenson University,accepted
40_IL_71,"University of Nevada, Las Vegas",accepted
40_IL_71,Central Connecticut State University,accepted
40_IL_71,Williams College,denied
40_IL_72,University of Central Florida,accepted
40_IL_72,Indiana University Bloomington,accepted
40_IL_72,Texas Christian University,accepted
40_IL_72,Kalamazoo College,pending
